DP Identifier,MSCIWorldTRI,TOP40,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
Date,MSCIWorldTRI Index,TOP40 Index,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
02/03/2020,9389.58,46648.2,2.982092,2.752218,2.795984,3.014395
03/03/2020,9251.94,47671.24,3.012572,2.771981,2.820884,3.046281
04/03/2020,9522.49,47560.68,3.011423,2.769777,2.81977,3.025327
05/03/2020,9310.32,47618.75,3.025122,2.785979,2.833895,3.056681
06/03/2020,9127.76,46759.72,2.994798,2.765279,2.807983,3.034221
09/03/2020,8474.22,43687.17,2.925643,2.732169,2.755181,2.98951
10/03/2020,8715.4,44252.34,2.901969,2.711198,2.733641,2.929634
11/03/2020,8376.69,43891.49,2.909313,2.717215,2.740003,2.952753
12/03/2020,7547.61,39536.18,2.792516,2.647769,2.645555,2.874353
13/03/2020,7995.9,39476.09,2.727922,2.591494,2.585961,2.770707
16/03/2020,7236.13,36301.81,2.618836,2.523856,2.496146,2.755276
17/03/2020,7534.47,37375.33,2.639235,2.536355,2.512613,2.763329
18/03/2020,7149.18,34715.64,2.518819,2.441154,2.404217,2.662249
19/03/2020,7203.14,34239.3,2.494064,2.435577,2.388546,2.633234
20/03/2020,7018.95,36302.3,2.53728,2.449451,2.41814,2.676981
23/03/2020,6811.45,34695.9,2.473689,2.40357,2.361487,2.640663
24/03/2020,7409.52,37550.72,2.495814,2.397782,2.371017,2.641639
25/03/2020,7594.07,39493.22,2.614169,2.498665,2.482696,2.738046
26/03/2020,7976.03,41110.45,2.692949,2.544872,2.546408,2.799971
27/03/2020,7770.76,39172.39,2.66229,2.538348,2.526725,2.807429
30/03/2020,7965.26,39756.74,2.672234,2.546296,2.534762,2.818225
31/03/2020,7890.18,40738.57,2.710792,2.583935,2.573428,2.844597
01/04/2020,7586.14,40027.41,2.685619,2.56808,2.552862,2.797623
02/04/2020,7678.51,41245.26,2.720103,2.581085,2.576428,2.824319
03/04/2020,7568.57,40873.41,2.729708,2.587095,2.583998,2.847337
06/04/2020,8014.41,42534.54,2.75577,2.596424,2.602275,2.858171
07/04/2020,8072.49,43590,2.826289,2.641566,2.661466,2.905838
08/04/2020,8266.02,42772.2,2.792805,2.626211,2.636307,2.890187
09/04/2020,8397.05,43837.45,2.826025,2.644897,2.663051,2.910026
14/04/2020,8551.84,45580.91,2.903801,2.702265,2.730901,2.982753
15/04/2020,8353.58,44202.9,2.898323,2.712764,2.732099,3.005711
16/04/2020,8371.6,44180,2.883596,2.70137,2.719102,2.978161
17/04/2020,8598.54,45044.37,2.911361,2.72253,2.743791,3.000009
20/04/2020,8498.51,44796.92,2.906292,2.728483,2.743623,3.010975
21/04/2020,8235.92,43737.55,2.844871,2.678737,2.687699,2.921623
22/04/2020,8389.98,44248.82,2.830155,2.661003,2.671761,2.894994
23/04/2020,8416.84,45661.96,2.870488,2.676387,2.700137,2.94816
24/04/2020,8474.03,45595.47,2.870898,2.67498,2.699823,2.945912
28/04/2020,8628.59,46100.71,2.887776,2.681792,2.712418,2.955481
29/04/2020,8831.92,46831.62,2.899009,2.688854,2.722175,2.948046
30/04/2020,8756.46,46348.26,2.890164,2.684177,2.715587,2.922461
04/05/2020,8523.04,45254.03,2.861918,2.675228,2.696431,2.901255
05/05/2020,8610.84,45210.39,2.863297,2.677928,2.698859,2.885479
06/05/2020,8566.4,45952.52,2.882286,2.694136,2.715975,2.917119
07/05/2020,8649.07,46096.03,2.890025,2.703494,2.724711,2.910737
08/05/2020,8802.88,47061.57,2.897338,2.707279,2.730656,2.908503
11/05/2020,8798.27,46359.51,2.89528,2.708708,2.729958,2.918894
12/05/2020,8685.99,46518.03,2.900961,2.713914,2.735687,2.914948
13/05/2020,8534.67,46416.44,2.88605,2.703657,2.722812,2.902472
14/05/2020,8542.91,45445.1,2.844222,2.676375,2.687156,2.882581
15/05/2020,8580.68,45948.36,2.853491,2.676183,2.69232,2.881055
18/05/2020,8840.99,47673.54,2.887708,2.699489,2.721704,2.898702
19/05/2020,8809.31,48160.65,2.923048,2.724425,2.752234,2.93337
20/05/2020,8941.51,48379.91,2.910436,2.7157,2.741706,2.910912
21/05/2020,8866.03,47232.26,2.909048,2.713917,2.740421,2.902403
22/05/2020,8857.84,46432.04,2.874351,2.698279,2.714475,2.879822
25/05/2020,8900.32,46351.26,2.859721,2.688984,2.702289,2.866256
26/05/2020,9039.17,46795.97,2.872145,2.692531,2.710859,2.865005
27/05/2020,9136.01,46600.64,2.891595,2.710219,2.729282,2.88966
28/05/2020,9185.91,47440.06,2.912769,2.720911,2.745619,2.907451
29/05/2020,9185.25,46544.79,2.900581,2.717219,2.737222,2.904778
01/06/2020,9254.22,46950.12,2.905276,2.719976,2.74111,2.902072
02/06/2020,9353.6,48318.29,2.936134,2.733041,2.763657,2.915825
03/06/2020,9506.44,49300.1,2.971095,2.752887,2.791571,2.94004
04/06/2020,9490.46,48837.53,2.9825,2.762989,2.802213,2.957469
05/06/2020,9697.09,50199.8,3.00674,2.768655,2.81789,2.974251
08/06/2020,9788.5,50117.63,3.014578,2.77119,2.823095,2.98962
09/06/2020,9734.54,49915.74,3.003365,2.764479,2.813948,2.988728
10/06/2020,9700.81,49204.82,2.978946,2.74865,2.793684,2.964393
11/06/2020,9218.89,48892.12,2.981059,2.755241,2.797511,2.978243
12/06/2020,9263.66,49247.69,2.955945,2.734989,2.774755,2.936345
15/06/2020,9293.99,47919.52,2.935508,2.72413,2.758432,2.935052
17/06/2020,9493.03,49661.14,2.9892,2.753815,2.800888,2.983999
18/06/2020,9483.87,49589.11,2.989256,2.759009,2.803116,2.992757
19/06/2020,9457.19,49812.34,3.005516,2.771377,2.817782,2.999174
22/06/2020,9495.88,49877.86,2.996666,2.764854,2.809887,2.991468
23/06/2020,9574.2,51193.19,3.013591,2.771433,2.822026,3.002103
24/06/2020,9334.82,50193.8,3.003333,2.769302,2.815314,3.004419
25/06/2020,9392.11,49732.92,2.978381,2.756533,2.796324,2.971014
26/06/2020,9237.29,49477.85,2.981713,2.762134,2.800809,2.973287
29/06/2020,9323.05,49920.09,2.97087,2.754008,2.791353,2.95467
30/06/2020,9432.11,50174.95,2.991639,2.771315,2.810143,2.993543
01/07/2020,9473.27,49570.88,3.006091,2.783504,2.823194,3.03231
